Module	Section	Sample Name	Source
Bismark	methylation_extraction	UT_010_S10_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_010_S10_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	UT_006_S6_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_006_S6_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	methylation_extraction	UT_009_S9_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_009_S9_L001_R1_001_val_1_bismark_bt2_pe_splitting_report.txt
Bismark	m_bias	UT_001_S1_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_001_S1_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	UT_002_S2_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_002_S2_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	UT_012_S12_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_012_S12_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	UT_011_S11_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_011_S11_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	UT_009_S9_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_009_S9_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	UT_004_S4_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_004_S4_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	UT_007_S7_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_007_S7_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	UT_008_S8_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_008_S8_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	UT_006_S6_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_006_S6_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	UT_005_S5_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_005_S5_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	UT_010_S10_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_010_S10_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Bismark	m_bias	UT_003_S3_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_003_S3_L001_R1_001_val_1_bismark_bt2_pe.M-bias.txt
Cutadapt	all_sections	UT_001_S1_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_001_S1_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_001_S1_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_001_S1_L001_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_002_S2_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_002_S2_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_002_S2_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_002_S2_L001_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_003_S3_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_003_S3_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_003_S3_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_003_S3_L001_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_005_S5_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_005_S5_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_005_S5_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_005_S5_L001_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_008_S8_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_008_S8_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_008_S8_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_008_S8_L001_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_009_S9_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_009_S9_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_009_S9_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_009_S9_L001_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_007_S7_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_007_S7_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_007_S7_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_007_S7_L001_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_012_S12_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_012_S12_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_012_S12_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_012_S12_L001_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_011_S11_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_011_S11_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_011_S11_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_011_S11_L001_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_006_S6_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_006_S6_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_006_S6_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_006_S6_L001_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_010_S10_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_010_S10_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_010_S10_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_010_S10_L001_R2_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_004_S4_L001_R1_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_004_S4_L001_R1_001.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UT_004_S4_L001_R2_001	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/output_txts/UT_004_S4_L001_R2_001.fastq.gz_trimming_report.txt
FastQC	all_sections	UT_007_S7_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_007_S7_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_003_S3_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_003_S3_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_007_S7_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_007_S7_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	UT_004_S4_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_004_S4_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_004_S4_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_004_S4_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	UT_008_S8_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_008_S8_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_008_S8_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_008_S8_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	UT_006_S6_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_006_S6_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_006_S6_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_006_S6_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	UT_001_S1_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_001_S1_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	UT_001_S1_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_001_S1_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_005_S5_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_005_S5_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_005_S5_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_005_S5_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	UT_011_S11_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_011_S11_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_011_S11_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_011_S11_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	UT_002_S2_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_002_S2_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_002_S2_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_002_S2_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	UT_010_S10_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_010_S10_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_010_S10_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_010_S10_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	UT_009_S9_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_009_S9_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_009_S9_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_009_S9_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	UT_003_S3_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_003_S3_L001_R2_001_val_2_fastqc.zip
FastQC	all_sections	UT_012_S12_L001_R1_001_val_1	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_012_S12_L001_R1_001_val_1_fastqc.zip
FastQC	all_sections	UT_012_S12_L001_R2_001_val_2	/home/gunasekara/CoRSIV_Capture/hanis_data_2020_aug/UT_012_S12_L001_R2_001_val_2_fastqc.zip
